,0
308,wind_direction_10m_delta_minmax_forecast_delta_t+1_t
309,wind_direction_10m_delta_minmax_forecast_delta_t+6_t
310,wind_direction_10m_delta_minmax_forecast_delta_t+12_t
311,wind_direction_10m_delta_minmax_forecast_delta_t+24_t
312,wind_direction_10m_std_forecast_t+1
313,wind_direction_10m_std_forecast_t+3
314,wind_direction_10m_std_forecast_t+6
315,wind_direction_10m_std_forecast_t+9
316,wind_direction_10m_std_forecast_t+12
317,wind_direction_10m_std_forecast_t+16
318,wind_direction_10m_std_forecast_t+24
319,wind_direction_10m_std_forecast_delta_t+1_t
320,wind_direction_10m_std_forecast_delta_t+6_t
321,wind_direction_10m_std_forecast_delta_t+12_t
322,wind_direction_10m_std_forecast_delta_t+24_t
323,global_tilted_irradiance_delta_minmax_forecast_t+1
324,global_tilted_irradiance_delta_minmax_forecast_t+3
325,global_tilted_irradiance_delta_minmax_forecast_t+6
326,global_tilted_irradiance_delta_minmax_forecast_t+9
327,global_tilted_irradiance_delta_minmax_forecast_t+12
328,global_tilted_irradiance_delta_minmax_forecast_t+16
329,global_tilted_irradiance_delta_minmax_forecast_t+24
330,global_tilted_irradiance_delta_minmax_forecast_delta_t+1_t
331,global_tilted_irradiance_delta_minmax_forecast_delta_t+6_t
332,global_tilted_irradiance_delta_minmax_forecast_delta_t+12_t
333,global_tilted_irradiance_delta_minmax_forecast_delta_t+24_t
334,global_tilted_irradiance_std_forecast_t+1
335,global_tilted_irradiance_std_forecast_t+3
336,global_tilted_irradiance_std_forecast_t+6
337,global_tilted_irradiance_std_forecast_t+9
338,global_tilted_irradiance_std_forecast_t+12
339,global_tilted_irradiance_std_forecast_t+16
340,global_tilted_irradiance_std_forecast_t+24
341,global_tilted_irradiance_std_forecast_delta_t+1_t
342,global_tilted_irradiance_std_forecast_delta_t+6_t
343,global_tilted_irradiance_std_forecast_delta_t+12_t
344,global_tilted_irradiance_std_forecast_delta_t+24_t
